response_id,research_id,respondent_id,object,translated_response,combined_response,final_response,originality_rater02,utility_rater02,originality_rater01,utility_rater01
491,CEG202667,cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn,can,ashtray,use can as ashtray,use can as ashtray,2,5,2,5
492,CEG202668,cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn,can,bird feeder,use can as bird feeder,use can as bird feeder,NA,NA,3,4
493,CEG202669,cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn,can,wind chime,use can as wind chime,use can as wind chime,NA,NA,4,3
494,CEG202670,cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn,can,planter,use can as planter,use can as planter,NA,NA,3,5
495,CEG202671,cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT,can,planter for small plants or herbs,use can as planter for small plants or herbs,use can for planter for small plants or herbs,3,4,3,5
496,CEG202672,cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT,can,Cut top off of tin can and use it as pencil holder on your desk,use can as Cut top off of tin can and use it as pencil holder on your desk,use can to Cut top off of tin can and use it to pencil holder on your desk,2,5,2,5
497,CEG202673,cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT,can,vase for fresh flowers,use can as vase for fresh flowers,use can for vase for fresh flowers,3,4,3,4
498,CEG202674,cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT,can,Make wind chime out of old tin cans and some string or wire,use can as Make wind chime out of old tin cans and some string or wire,use can as Make wind chime out of old tin cans and some string or wire,3,3,3,3
499,CEG202675,cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT,can,Turn,use can as Turn,use can as Turn,NA,NA,1,3
500,CEG202676,cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB,can,vase,use can as vase,use can as vase,NA,NA,3,5
501,CEG202677,cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB,can,make wind chime,use can as make wind chime,use can to make wind chime,3,3,3,3
502,CEG202678,cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB,can,planter,use can as planter,use can as planter,NA,NA,3,5
503,CEG202679,cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB,can,bird feeder,use can as bird feeder,use can as bird feeder,NA,NA,3,4
504,CEG202680,cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB,can,hold pencils or pens on desk,use can as hold pencils or pens on desk,use can as hold pencils or pens on desk,2,5,2,5
505,CEG202681,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
506,CEG202682,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,book,start fire in emergency situation,use book as start fire in emergency situation,use book as start fire in emergency situation,NA,NA,2,4
507,CEG202683,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
508,CEG202684,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,book,prop up table or chair leg that is wobbling,use book as prop up table or chair leg that is wobbling,use book as prop up table or chair leg that is wobbling,2,4,3,4
509,CEG202685,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,book,coaster for drinks to protect,use book as coaster for drinks to protect,use book to coaster for drinks to protect,NA,NA,2,5
510,CEG202686,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
511,CEG202687,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,book,prop up wobbly table,use book as prop up wobbly table,use book as prop up wobbly table,NA,NA,3,4
512,CEG202688,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
513,CEG202689,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,book,make papier-mache mask,use book as make papier-mache mask,use book to make papier-mache mask,NA,NA,3,3
513,CEG202690,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,book,make papier-mache mask,use book as make papier-mache mask,use book to make papier-mache mask,NA,NA,3,3
514,CEG202691,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,book,cut up and made into collage,use book as cut up and made into collage,use book as cut up and made into collage,NA,NA,2,5
515,CEG202692,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
516,CEG202693,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,book,hold up table leg,use book as hold up table leg,use book as hold up table leg,2,4,3,4
517,CEG202694,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,book,coaster for your beverage,use book as coaster for your beverage,use book for coaster for your beverage,NA,NA,2,5
518,CEG202695,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,book,fan yourself on hot day,use book as fan yourself on hot day,use book as fan yourself on hot day,NA,NA,3,5
519,CEG202696,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,book,weight to keep paper from flying away in wind,use book as weight to keep paper from flying away in wind,use book as weight to keep paper from flying away in wind,NA,NA,2,5
520,CEG202697,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,book,Bookend,use book as Bookend,use book as Bookend,NA,NA,2,4
521,CEG202698,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,book,Doorstop,use book as Doorstop,use book as Doorstop,NA,NA,2,5
522,CEG202699,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,book,Paperweight,use book as Paperweight,use book as Paperweight,NA,NA,2,5
523,CEG202700,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,book,Decoration,use book as Decoration,use book as Decoration,NA,NA,2,4
524,CEG202701,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,book,Cat bed/house,use book as Cat bed/house,use book as Cat bed/house,NA,NA,4,3
525,CEG202702,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,book,Dog house/kennel,use book as Dog house/kennel,use book as Dog house/kennel,NA,NA,5,3
526,CEG202703,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,book,Bird house,use book as Bird house,use book as Bird house,NA,NA,5,3
527,CEG202704,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,book,Planter,use book as Planter,use book as Planter,NA,NA,5,2
528,CEG202705,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,book,Halloween decoration,use book as Halloween decoration,use book as Halloween decoration,NA,NA,2,3
529,CEG202706,cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
530,CEG202707,cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,book,prop up wobbly table,use book as prop up wobbly table,use book as prop up wobbly table,NA,NA,3,4
531,CEG202708,cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
532,CEG202709,cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,book,make papier-mâché sculpture,use book as make papier-mâché sculpture,use book to make papier-mÃ¢chÃ© sculpture,NA,NA,3,3
532,CEG202710,cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,book,make papier-mache sculpture,use book as make papier-mache sculpture,use book to make papier-mache sculpture,NA,NA,3,3
533,CEG202711,cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,book,used as fuel for bonfire,use book as used as fuel for bonfire,use book for used for fuel for bonfire,NA,NA,2,4
534,CEG202712,cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
535,CEG202713,cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,book,prop up table leg,use book as prop up table leg,use book as prop up table leg,NA,NA,3,4
536,CEG202714,cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
537,CEG202715,cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,book,birdhouse,use book as birdhouse,use book as birdhouse,NA,NA,5,3
538,CEG202716,cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,book,carve into sculpture,use book as carve into sculpture,use book as carve into sculpture,NA,NA,4,3
539,CEG202717,cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,book,As part of pinata,use book as As part of pinata,use book as As part of pinata,NA,NA,5,4
539,CEG202718,cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,book,As part of pinata,use book as As part of pinata,use book as As part of pinata,NA,NA,5,4
540,CEG202719,cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,book,As fuel for fire,use book as As fuel for fire,use book for As fuel for fire,NA,NA,2,4
541,CEG202720,cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H,book,line bottom of birdcage,use book as line bottom of birdcage,use book as line bottom of birdcage,NA,NA,4,4
543,CEG202721,cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
544,CEG202722,cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH,book,keep table level,use book as keep table level,use book as keep table level,NA,NA,3,4
545,CEG202723,cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH,book,help with balance when doing Yoga or Pilates,use book as help with balance when doing Yoga or Pilates,use book as help with balance when doing Yoga or Pilates,3,5,4,5
546,CEG202724,cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH,book,stacked and used as makeshift stool or end table,use book as stacked and used as makeshift stool or end table,use book as stacked and used as makeshift stool or end table,NA,NA,3,3
548,CEG202725,cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
549,CEG202726,cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
550,CEG202727,cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,book,prop up wobbly table or chair,use book as prop up wobbly table or chair,use book as prop up wobbly table or chair,2,4,3,4
551,CEG202728,cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,book,make makeshift stool or step stool,use book as make makeshift stool or step stool,use book to make makeshift stool or step stool,3,3,3,4
552,CEG202729,cmpl-59yPjn4R6xhOoKgPm64iK8kcGbDc4,book,can,use book as can,use book as can,NA,NA,4,1
553,CEG202730,cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
554,CEG202731,cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,book,prop up wobbly table,use book as prop up wobbly table,use book as prop up wobbly table,NA,NA,3,4
555,CEG202732,cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,book,keep your computer screen from getting scratched,use book as keep your computer screen from getting scratched,use book as keep your computer screen from getting scratched,4,2,4,1
556,CEG202733,cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,book,makes great paperweight,use book as makes great paperweight,use book as makes great paperweight,NA,NA,2,5
557,CEG202734,cmpl-59yPn4UNvYsNpZQzAYkIZElaYO5Gy,book,fan yourself on hot day,use book as fan yourself on hot day,use book as fan yourself on hot day,NA,NA,3,5
559,CEG202735,cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,book,can make great doorstop,use book as can make great doorstop,use book to can make great doorstop,NA,NA,2,5
560,CEG202736,cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,book,If you're crafty you can turn old book into unique journal,use book as If you're crafty you can turn old book into unique journal,use book as If you're crafty you can turn old book into unique journal,NA,NA,2,4
561,CEG202737,cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,book,Don't have coaster? No problem! Use book instead,use book as Don't have coaster? No problem! Use book instead,use book as Don't have coaster? No problem! Use book instead,NA,NA,2,5
562,CEG202738,cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,book,can also be used as paperweight to keep your papers from blowing away,use book as can also be used as paperweight to keep your papers from blowing away,use book as can also be used as paperweight to keep your papers from blowing away,NA,NA,1,5
563,CEG202739,cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,book,Tired of traditional placecards,use book as Tired of traditional placecards,use book as Tired of traditional placecards,NA,NA,4,3
564,CEG202740,cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
565,CEG202741,cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,book,prop up wobbly table,use book as prop up wobbly table,use book as prop up wobbly table,NA,NA,3,4
566,CEG202742,cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,book,kill spider,use book as kill spider,use book as kill spider,NA,NA,1,5
567,CEG202743,cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
568,CEG202744,cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,book,start fire in emergency situation,use book as start fire in emergency situation,use book as start fire in emergency situation,NA,NA,2,4
569,CEG202745,cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,book,can,use book as can,use book as can,NA,NA,4,1
570,CEG202746,cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,book,lampshade,use book as lampshade,use book as lampshade,NA,NA,4,3
571,CEG202747,cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,book,Use old books as wall decor in your home,use book as Use old books as wall decor in your home,use book as Use old books as wall decor in your home,NA,NA,2,4
572,CEG202748,cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,book,jewelry box,use book as jewelry box,use book as jewelry box,NA,NA,5,3
573,CEG202749,cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,book,Make purse out of old book,use book as Make purse out of old book,use book as Make purse out of old book,NA,NA,5,3
574,CEG202750,cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,book,Create memory box by decoupaging old book with photos and mementos,use book as Create memory box by decoupaging old book with photos and mementos,use book as Create memory box by decoupaging old book with photos and mementos,NA,NA,3,4
575,CEG202751,cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,book,Cover top of coffee table,use book as Cover top of coffee table,use book as Cover top of coffee table,NA,NA,2,4
576,CEG202752,cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
577,CEG202753,cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,book,Tearing out pages of book to use as confetti,use book as Tearing out pages of book to use as confetti,use book to Tearing out pages of book to use to confetti,NA,NA,3,4
578,CEG202754,cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,book,Making paper airplanes out of pages of book,use book as Making paper airplanes out of pages of book,use book as Making paper airplanes out of pages of book,2,5,2,5
579,CEG202755,cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,book,Creating sculpture by stacking books in interesting way,use book as Creating sculpture by stacking books in interesting way,use book as Creating sculpture by stacking books in interesting way,NA,NA,4,4
580,CEG202756,cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,book,Building fort by surrounding yourself with stacked books,use book as Building fort by surrounding yourself with stacked books,use book as Building fort by surrounding yourself with stacked books,NA,NA,4,3
579,CEG202754,cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,book,coloring on pages of book,use book as coloring on pages of book,use book as coloring on pages of book,NA,NA,1,5
581,CEG202757,cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,book,Drawing on pages of book,use book as Drawing on pages of book,use book as Drawing on pages of book,NA,NA,1,5
582,CEG202758,cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
583,CEG202759,cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,book,prop up table or other surface,use book as prop up table or other surface,use book as prop up table or other surface,NA,NA,3,4
584,CEG202760,cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
585,CEG202761,cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,book,stacked and arranged to create interesting sculptures or shapes,use book as stacked and arranged to create interesting sculptures or shapes,use book as stacked and arranged to create interesting sculptures or shapes,NA,NA,3,4
586,CEG202762,cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,book,cut open and its pages used as wrapping paper or for other crafts,use book as cut open and its pages used as wrapping paper or for other crafts,use book for cut open and its pages used for wrapping paper or for other crafts,NA,NA,3,4
587,CEG202763,cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
588,CEG202764,cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,book,level table or shelf,use book as level table or shelf,use book as level table or shelf,2,4,3,4
589,CEG202765,cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
590,CEG202766,cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,book,prop up window or door,use book as prop up window or door,use book as prop up window or door,NA,NA,2,5
591,CEG202767,cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,book,make artsuch as by decoupaging it onto another surface,use book as make artsuch as by decoupaging it onto another surface,use book to make artsuch to by decoupaging it onto another surface,NA,NA,2,4
592,CEG202768,cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,book,Turn it into piece of art by painting or drawing on cover,use book as Turn it into piece of art by painting or drawing on cover,use book to Turn it into piece of art by painting or drawing on cover,NA,NA,2,4
593,CEG202769,cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,book,Use it as doorstop,use book as Use it as doorstop,use book as Use it as doorstop,NA,NA,2,5
594,CEG202770,cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,book,Decorate with it by wrapping it in pretty paper and ribbon,use book as Decorate with it by wrapping it in pretty paper and ribbon,use book as Decorate with it by wrapping it in pretty paper and ribbon,NA,NA,2,4
595,CEG202771,cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,book,Cut out images from pages to make collage,use book as Cut out images from pages to make collage,use book to Cut out images from pages to make collage,NA,NA,2,5
596,CEG202772,cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,book,Make mobile out of old books by hanging them from ceiling with string or wire,use book as Make mobile out of old books by hanging them from ceiling with string or wire,use book as Make mobile out of old books by hanging them from ceiling with string or wire,NA,NA,5,3
597,CEG202773,cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,book,Make lamp shade out of old book,use book as Make lamp shade out of old book,use book as Make lamp shade out of old book,NA,NA,4,3
598,CEG202774,cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,book,Cut out pages of old book and use them as coasters,use book as Cut out pages of old book and use them as coasters,use book to Cut out pages of old book and use them to coasters,NA,NA,3,4
599,CEG202775,cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
600,CEG202776,cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,book,Stack few books together to use as makeshift stool or table,use book as Stack few books together to use as makeshift stool or table,use book to Stack few books together to use to makeshift stool or table,NA,NA,3,3
601,CEG202777,cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,book,Tear out pages of old book and use them as wall art or,use book as Tear out pages of old book and use them as wall art or,use book to Tear out pages of old book and use them to wall art or,NA,NA,3,4
602,CEG202778,cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
603,CEG202779,cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,book,start fire,use book as start fire,use book as start fire,NA,NA,2,4
604,CEG202780,cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,book,make paper airplanes,use book as make paper airplanes,use book to make paper airplanes,NA,NA,2,4
605,CEG202781,cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,book,coaster for your beverage,use book as coaster for your beverage,use book for coaster for your beverage,NA,NA,2,5
606,CEG202782,cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,book,given as gift even if you haven't read it yet,use book as given as gift even if you haven't read it yet,use book to given to gift even if you haven't read it yet,NA,NA,1,5
608,CEG202783,cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
609,CEG202784,cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,fork,remove lint from clothing,use fork as remove lint from clothing,use fork as remove lint from clothing,2,5,2,5
610,CEG202785,cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,3,4
611,CEG202786,cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,fork,apply makeup such as mascara or lipstick,use fork as apply makeup such as mascara or lipstick,use fork as apply makeup such as mascara or lipstick,3,2,3,2
612,CEG202787,cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj,fork,style hairsuch as in braids or upd,use fork as style hairsuch as in braids or upd,use fork as style hairsuch as in braids or upd,2,4,2,4
613,CEG202788,cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,fork,eat cake without getting your hands dirty,use fork as eat cake without getting your hands dirty,use fork as eat cake without getting your hands dirty,1,5,1,5
614,CEG202789,cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,fork,Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,3,3,3,3
615,CEG202790,cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,fork,test doneness of meat,use fork as test doneness of meat,use fork as test doneness of meat,1,5,1,5
616,CEG202791,cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,fork,Hold fork like microphone and give impromptu speeches,use fork as Hold fork like microphone and give impromptu speeches,use fork as Hold fork like microphone and give impromptu speeches,3,4,3,4
617,CEG202792,cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,fork,Juggle forks with friends for entertainment,use fork as Juggle forks with friends for entertainment,use fork for Juggle forks with friends for entertainment,3,3,3,3
618,CEG202793,cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8,fork,Make music with,use fork as Make music with,use fork as Make music with,3,4,3,4
619,CEG202794,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,bookmark,use fork as bookmark,use fork as bookmark,2,5,2,5
620,CEG202795,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,apply makeup,use fork as apply makeup,use fork as apply makeup,3,2,3,2
621,CEG202796,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,Paint with fork,use fork as Paint with fork,use fork as Paint with fork,3,2,3,2
622,CEG202797,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,Draw with fork,use fork as Draw with fork,use fork as Draw with fork,3,3,3,3
623,CEG202798,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,Eat entire meal with fork,use fork as Eat entire meal with fork,use fork as Eat entire meal with fork,1,4,1,4
624,CEG202799,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,Cook with fork,use fork as Cook with fork,use fork as Cook with fork,1,5,1,5
625,CEG202800,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,Clean with fork,use fork as Clean with fork,use fork as Clean with fork,2,3,2,3
626,CEG202801,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,Decorate with fork,use fork as Decorate with fork,use fork as Decorate with fork,2,4,2,4
627,CEG202802,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,Play music with fork,use fork as Play music with fork,use fork as Play music with fork,3,3,3,3
628,CEG202803,cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5,fork,utensil,use fork as utensil,use fork as utensil,1,5,1,5
629,CEG202804,cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,fork,eat soup without making mess,use fork as eat soup without making mess,use fork as eat soup without making mess,2,3,2,3
630,CEG202805,cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,fork,Stick fork in your hair to hold it back while you cook,use fork as Stick fork in your hair to hold it back while you cook,use fork as Stick fork in your hair to hold it back while you cook,2,4,2,4
631,CEG202806,cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,fork,play drums,use fork as play drums,use fork as play drums,3,4,3,4
632,CEG202807,cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,fork,open bottle of beer,use fork as open bottle of beer,use fork as open bottle of beer,2,4,2,4
633,CEG202808,cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,fork,bookmark in your favorite book,use fork as bookmark in your favorite book,use fork as bookmark in your favorite book,2,5,2,5
634,CEG202809,cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh,fork,Stick few forks in ground,use fork as Stick few forks in ground,use fork as Stick few forks in ground,2,5,2,5
635,CEG202810,cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,fork,Pick up leaves with fork,use fork as Pick up leaves with fork,use fork as Pick up leaves with fork,2,5,2,5
636,CEG202811,cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,fork,mini garden rake,use fork as mini garden rake,use fork to mini garden rake,2,4,2,4
637,CEG202812,cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,fork,Scrape bottom of your shoes with fork,use fork as Scrape bottom of your shoes with fork,use fork as Scrape bottom of your shoes with fork,2,5,2,5
638,CEG202813,cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,fork,Get lint out of your clothes with fork,use fork as Get lint out of your clothes with fork,use fork as Get lint out of your clothes with fork,2,5,2,5
639,CEG202814,cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,fork,Curl your hair with fork (tines facing in),use fork as Curl your hair with fork (tines facing in),use fork as Curl your hair with fork (tines facing in),2,4,2,4
640,CEG202815,cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,fork,chopsticks,use fork as chopsticks,use fork as chopsticks,2,4,2,4
641,CEG202816,cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr,fork,Eat spaghetti like Lady,use fork as Eat spaghetti like Lady,use fork as Eat spaghetti like Lady,1,5,1,5
642,CEG202817,cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,fork,eat your cereal instead of spoon,use fork as eat your cereal instead of spoon,use fork as eat your cereal instead of spoon,1,5,1,5
643,CEG202818,cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,fork,Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,3,3,3,3
644,CEG202819,cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,fork,comb for your hair,use fork as comb for your hair,use fork for comb for your hair,2,4,2,4
645,CEG202820,cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,fork,play piano,use fork as play piano,use fork as play piano,3,3,3,3
646,CEG202821,cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,fork,Stick forks into ground to make garden markers,use fork as Stick forks into ground to make garden markers,use fork to Stick forks into ground to make garden markers,2,4,2,4
647,CEG202822,cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ,fork,Make wind chimes out of,use fork as Make wind chimes out of,use fork as Make wind chimes out of,3,3,3,3
648,CEG202823,cmpl-59yQgge4lJCoANiACsRX2AMbQJjCj,fork,eat soup without making mess,use fork as eat soup without making mess,use fork as eat soup without making mess,2,3,2,3
